
2024/09/15 (22:38:11) | ===> btop++ v.1.3.2
2024/09/15 (22:38:11) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/15 (22:44:57) | ===> btop++ v.1.3.2
2024/09/15 (22:44:57) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/15 (22:46:57) | ===> btop++ v.1.3.2
2024/09/15 (22:46:57) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/09/15 (22:48:37) | ===> btop++ v.1.3.2
2024/09/15 (22:48:37) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/09/15 (22:54:29) | INFO: Logger set to INFO
2024/09/15 (22:54:29) | INFO: Logger set to DEBUG
